year,date,round,round_key,team_a,team_b,team_a_score,team_b_score,team_a_score_ft,team_b_score_ft,team_a_score_et,team_b_score_et,team_a_penalties,team_b_penalties,winner,winner_method,source_url
2002,2002-06-15,Round of 16,round_of_16,Denmark,England,0,3,0,3,,,,,England,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-15,Round of 16,round_of_16,Germany,Paraguay,1,0,1,0,,,,,Germany,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-16,Round of 16,round_of_16,Spain,Ireland,1,1,1,1,1.0,1.0,3.0,2.0,Spain,penalties,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-16,Round of 16,round_of_16,Sweden,Senegal,1,2,1,1,1.0,2.0,,,Senegal,extra_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-17,Round of 16,round_of_16,Brazil,Belgium,2,0,2,0,,,,,Brazil,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-17,Round of 16,round_of_16,Mexico,USA,0,2,0,2,,,,,USA,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-18,Round of 16,round_of_16,Japan,Turkey,0,1,0,1,,,,,Turkey,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-18,Round of 16,round_of_16,South Korea,Italy,2,1,1,1,2.0,1.0,,,South Korea,extra_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-21,Quarter-finals,quarterfinals,England,Brazil,1,2,1,2,,,,,Brazil,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-21,Quarter-finals,quarterfinals,Germany,USA,1,0,1,0,,,,,Germany,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-22,Quarter-finals,quarterfinals,Senegal,Turkey,0,1,0,0,0.0,1.0,,,Turkey,extra_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-22,Quarter-finals,quarterfinals,Spain,South Korea,0,0,0,0,0.0,0.0,3.0,5.0,South Korea,penalties,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-25,Semi-finals,semifinals,Germany,South Korea,1,0,1,0,,,,,Germany,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-26,Semi-finals,semifinals,Brazil,Turkey,1,0,1,0,,,,,Brazil,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2002,2002-06-30,Final,final,Germany,Brazil,0,2,0,2,,,,,Brazil,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2002/worldcup.json
2006,2006-06-24,Round of 16,round_of_16,Argentina,Mexico,2,1,1,1,2.0,1.0,,,Argentina,extra_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-24,Round of 16,round_of_16,Germany,Sweden,2,0,2,0,,,,,Germany,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-25,Round of 16,round_of_16,England,Ecuador,1,0,1,0,,,,,England,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-25,Round of 16,round_of_16,Portugal,Netherlands,1,0,1,0,,,,,Portugal,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-26,Round of 16,round_of_16,Italy,Australia,1,0,1,0,,,,,Italy,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-26,Round of 16,round_of_16,Switzerland,Ukraine,0,0,0,0,0.0,0.0,0.0,3.0,Ukraine,penalties,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-27,Round of 16,round_of_16,Brazil,Ghana,3,0,3,0,,,,,Brazil,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-27,Round of 16,round_of_16,Spain,France,1,3,1,3,,,,,France,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-30,Quarterfinals,quarterfinals,Germany,Argentina,1,1,1,1,1.0,1.0,4.0,2.0,Germany,penalties,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-06-30,Quarterfinals,quarterfinals,Italy,Ukraine,3,0,3,0,,,,,Italy,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
2006,2006-07-01,Quarterfinals,quarterfinals,Brazil,France,0,1,0,1,,,,,France,full_time,https://raw.githubusercontent.com/openfootball/worldcup.json/master/2006/worldcup.json
