model,year,train_matches,test_matches,log_loss,brier_score,ranked_probability_score,accuracy,top1_accuracy
logistic_plain,2002,26436,64,1.0303730452947995,0.6123186335006352,0.2137386263797971,0.5,0.5
logistic_plain,2006,30040,64,0.883291278236443,0.5108693373045625,0.16762378207997078,0.640625,0.640625
logistic_plain,2010,33867,64,0.9843020049176134,0.5820791341031586,0.19694688522224593,0.5625,0.5625
logistic_plain,2014,37864,64,0.9248578067353872,0.5483602886924948,0.192018751463557,0.609375,0.609375
logistic_plain,2018,41642,64,0.9546992049999043,0.5666070156493959,0.20225626081611392,0.5625,0.5625
logistic_plain,2022,45703,64,1.0589517404785362,0.6168552544044298,0.2215169631928714,0.5,0.5
logistic_plain_c0_5,2002,26436,64,1.0303850405162578,0.6123597245919421,0.21376281655283172,0.5,0.5
logistic_plain_c0_5,2006,30040,64,0.883174907549471,0.5108097894131796,0.16759738444417838,0.640625,0.640625
logistic_plain_c0_5,2010,33867,64,0.9841652140100168,0.5820069529468945,0.19690862790531088,0.546875,0.546875
logistic_plain_c0_5,2014,37864,64,0.9247291636048061,0.5482413898170508,0.1919608126214486,0.609375,0.609375
logistic_plain_c0_5,2018,41642,64,0.9547180234755639,0.566595965662048,0.2022484465779049,0.5625,0.5625
logistic_plain_c0_5,2022,45703,64,1.0587269030977828,0.6168197902866088,0.2215002967655348,0.5,0.5
logistic_plain_c2,2002,26436,64,1.0303721813051605,0.6123011197987718,0.21372725823864652,0.5,0.5
logistic_plain_c2,2006,30040,64,0.8833539035266889,0.5109014893805383,0.16763804894441034,0.640625,0.640625
logistic_plain_c2,2010,33867,64,0.9843742132423139,0.582117233921444,0.1969670874595043,0.5625,0.5625
logistic_plain_c2,2014,37864,64,0.9249253622439082,0.5484227108305306,0.1920491698519433,0.609375,0.609375
logistic_plain_c2,2018,41642,64,0.9546891068600751,0.5666125139049893,0.20226020369107262,0.5625,0.5625
logistic_plain_c2,2022,45703,64,1.0591004893445866,0.616881453510431,0.22152817418305268,0.5,0.5
logistic_balanced_c0_5,2002,26436,64,1.0606979114460082,0.6289159495238801,0.2195641449438553,0.53125,0.53125
logistic_balanced_c0_5,2006,30040,64,0.9459067130719943,0.5607401327357755,0.18915644570452117,0.5625,0.5625
logistic_balanced_c0_5,2010,33867,64,0.9884135570521146,0.5880875901581104,0.1987095392279623,0.53125,0.53125
logistic_balanced_c0_5,2014,37864,64,0.9766797913700399,0.5865202299172274,0.20403928291085366,0.484375,0.484375
logistic_balanced_c0_5,2018,41642,64,0.9842925790282667,0.5860900564747584,0.20500631013710247,0.546875,0.546875
logistic_balanced_c0_5,2022,45703,64,1.096367567583425,0.6321486328129466,0.22639832980398308,0.546875,0.546875
logistic_balanced_c2,2002,26436,64,1.0606997198679649,0.6289172708137843,0.21955792463611717,0.53125,0.53125
logistic_balanced_c2,2006,30040,64,0.946085675119672,0.5608555950889385,0.18920916191804438,0.5625,0.5625
logistic_balanced_c2,2010,33867,64,0.988600203545652,0.5882168459894996,0.1987774952331429,0.53125,0.53125
logistic_balanced_c2,2014,37864,64,0.9768833624070005,0.5866845300296328,0.20411689921951745,0.484375,0.484375
logistic_balanced_c2,2018,41642,64,0.9843494966067103,0.5861398940211366,0.20502093782989006,0.546875,0.546875
logistic_balanced_c2,2022,45703,64,1.0970863829352173,0.6323259794165415,0.22647475140689483,0.546875,0.546875
