outcome,bin,bin_lower,bin_upper,count,mean_predicted_probability,observed_frequency,absolute_error
team_a_loss,1,0.0,0.1,24,0.07307019359854039,0.16666666666666666,0.09359647306812627
team_a_loss,2,0.1,0.2,84,0.15587913318427354,0.09523809523809523,0.06064103794617831
team_a_loss,3,0.2,0.30000000000000004,84,0.25024082979582807,0.2857142857142857,0.03547345591845763
team_a_loss,4,0.30000000000000004,0.4,72,0.3515454366921673,0.3472222222222222,0.0043232144699451025
team_a_loss,5,0.4,0.5,46,0.4412237330407979,0.45652173913043476,0.015298006089636829
team_a_loss,6,0.5,0.6000000000000001,40,0.5420446690674241,0.55,0.007955330932575944
team_a_loss,7,0.6000000000000001,0.7000000000000001,24,0.6380502296837524,0.75,0.11194977031624764
team_a_loss,8,0.7000000000000001,0.8,9,0.7336370754790381,0.7777777777777778,0.044140702298739676
team_a_loss,9,0.8,0.9,1,0.8728867854388559,0.0,0.8728867854388559
team_a_loss,10,0.9,1.0,0,,,
draw,1,0.0,0.1,2,0.0932485270676229,0.0,0.0932485270676229
draw,2,0.1,0.2,91,0.1760032057900479,0.16483516483516483,0.01116804095488308
draw,3,0.2,0.30000000000000004,291,0.23245552522245358,0.2508591065292096,0.01840358130675604
draw,4,0.30000000000000004,0.4,0,,,
draw,5,0.4,0.5,0,,,
draw,6,0.5,0.6000000000000001,0,,,
draw,7,0.6000000000000001,0.7000000000000001,0,,,
draw,8,0.7000000000000001,0.8,0,,,
draw,9,0.8,0.9,0,,,
draw,10,0.9,1.0,0,,,
team_a_win,1,0.0,0.1,4,0.06308545619062714,0.5,0.4369145438093729
team_a_win,2,0.1,0.2,34,0.15406786831533228,0.14705882352941177,0.007009044785920515
team_a_win,3,0.2,0.30000000000000004,49,0.24782665170450308,0.1836734693877551,0.06415318231674796
team_a_win,4,0.30000000000000004,0.4,69,0.3536174324026457,0.2608695652173913,0.0927478671852544
team_a_win,5,0.4,0.5,65,0.45122824216226404,0.4153846153846154,0.03584362677764863
team_a_win,6,0.5,0.6000000000000001,64,0.5478672064417014,0.5625,0.014632793558298607
team_a_win,7,0.6000000000000001,0.7000000000000001,65,0.6452618328536112,0.7076923076923077,0.06243047483869657
team_a_win,8,0.7000000000000001,0.8,29,0.7469988940511738,0.7241379310344828,0.02286096301669105
team_a_win,9,0.8,0.9,5,0.8349267616802193,0.6,0.2349267616802193
team_a_win,10,0.9,1.0,0,,,
