candidate,year,candidate_type,prior_strength,max_live_weight,fixed_live_weight,eligible_for_selection,matches,advance_accuracy,advance_log_loss,advance_brier_score,mean_live_weight,max_observed_live_weight
anchor_only,2002,anchor_only,,,0.0,True,15,0.5333333333333333,0.6132396779121251,0.21717355687427037,0.0,0.0
live_only_diagnostic,2002,live_only_diagnostic,,,1.0,False,15,0.6666666666666666,0.5817781343028945,0.20168621034992815,1.0,1.0
prior_120_cap_0.15,2002,anchored_live_ensemble,120.0,0.15,,True,15,0.6,0.6089177994473701,0.2147116908166038,0.03575305291723203,0.1044776119402985
prior_120_cap_0.25,2002,anchored_live_ensemble,120.0,0.25,,True,15,0.6,0.6089177994473701,0.2147116908166038,0.03575305291723203,0.1044776119402985
prior_120_cap_0.35,2002,anchored_live_ensemble,120.0,0.35,,True,15,0.6,0.6089177994473701,0.2147116908166038,0.03575305291723203,0.1044776119402985
prior_20_cap_0.15,2002,anchored_live_ensemble,20.0,0.15,,True,15,0.6,0.6025795734230324,0.21144031140061503,0.07,0.15
prior_20_cap_0.25,2002,anchored_live_ensemble,20.0,0.25,,True,15,0.6,0.5968235322254362,0.20828680333876717,0.11666666666666667,0.25
prior_20_cap_0.35,2002,anchored_live_ensemble,20.0,0.35,,True,15,0.6666666666666666,0.5970349575199335,0.20810950859150212,0.1461904761904762,0.35
prior_40_cap_0.15,2002,anchored_live_ensemble,40.0,0.15,,True,15,0.6,0.6025795734230324,0.21144031140061503,0.07,0.15
prior_40_cap_0.25,2002,anchored_live_ensemble,40.0,0.25,,True,15,0.6,0.6029818759046928,0.211336977925051,0.09188034188034187,0.25
prior_40_cap_0.35,2002,anchored_live_ensemble,40.0,0.35,,True,15,0.6,0.6027924744743092,0.21124230991566859,0.09249762583095916,0.25925925925925924
prior_60_cap_0.15,2002,anchored_live_ensemble,60.0,0.15,,True,15,0.6,0.6055352556298358,0.21286258045142506,0.06137254901960785,0.15
prior_60_cap_0.25,2002,anchored_live_ensemble,60.0,0.25,,True,15,0.6,0.6055221115051438,0.21278375118299164,0.06620738385444266,0.1891891891891892
prior_60_cap_0.35,2002,anchored_live_ensemble,60.0,0.35,,True,15,0.6,0.6055221115051438,0.21278375118299164,0.06620738385444266,0.1891891891891892
prior_80_cap_0.15,2002,anchored_live_ensemble,80.0,0.15,,True,15,0.6,0.6071230697347919,0.21369163346527234,0.05156280660443473,0.14893617021276595
prior_80_cap_0.25,2002,anchored_live_ensemble,80.0,0.25,,True,15,0.6,0.6071230697347919,0.21369163346527234,0.05156280660443473,0.14893617021276595
prior_80_cap_0.35,2002,anchored_live_ensemble,80.0,0.35,,True,15,0.6,0.6071230697347919,0.21369163346527234,0.05156280660443473,0.14893617021276595
anchor_only,2006,anchor_only,,,0.0,True,15,0.4666666666666667,0.6190402868987903,0.21738483060728203,0.0,0.0
live_only_diagnostic,2006,live_only_diagnostic,,,1.0,False,15,0.5333333333333333,0.6554171279796676,0.2330521425472515,1.0,1.0
prior_120_cap_0.15,2006,anchored_live_ensemble,120.0,0.15,,True,15,0.5333333333333333,0.6204279378574992,0.2180405801348714,0.03575305291723203,0.1044776119402985
prior_120_cap_0.25,2006,anchored_live_ensemble,120.0,0.25,,True,15,0.5333333333333333,0.6204279378574992,0.2180405801348714,0.03575305291723203,0.1044776119402985
prior_120_cap_0.35,2006,anchored_live_ensemble,120.0,0.35,,True,15,0.5333333333333333,0.6204279378574992,0.2180405801348714,0.03575305291723203,0.1044776119402985
prior_20_cap_0.15,2006,anchored_live_ensemble,20.0,0.15,,True,15,0.5333333333333333,0.6218574718634676,0.21869445632073198,0.07,0.15
prior_20_cap_0.25,2006,anchored_live_ensemble,20.0,0.25,,True,15,0.5333333333333333,0.6242008818451024,0.21977155406647225,0.11666666666666667,0.25
prior_20_cap_0.35,2006,anchored_live_ensemble,20.0,0.35,,True,15,0.5333333333333333,0.6259315201588512,0.22058828295103725,0.1461904761904762,0.35
prior_40_cap_0.15,2006,anchored_live_ensemble,40.0,0.15,,True,15,0.5333333333333333,0.6218574718634676,0.21869445632073198,0.07,0.15
prior_40_cap_0.25,2006,anchored_live_ensemble,40.0,0.25,,True,15,0.5333333333333333,0.622968160085526,0.21922889315401858,0.09188034188034187,0.25
prior_40_cap_0.35,2006,anchored_live_ensemble,40.0,0.35,,True,15,0.5333333333333333,0.6229488094673534,0.21921922827170326,0.09249762583095916,0.25925925925925924
prior_60_cap_0.15,2006,anchored_live_ensemble,60.0,0.15,,True,15,0.5333333333333333,0.6215731324864213,0.21857452692001764,0.06137254901960785,0.15
