candidate,candidate_type,prior_strength,max_live_weight,fixed_live_weight,eligible_for_selection,matches,advance_accuracy,advance_log_loss,advance_brier_score,mean_live_weight,max_observed_live_weight
prior_120_cap_0.15,anchored_live_ensemble,120.0,0.15,,True,90,0.6666666666666666,0.5764557391798081,0.19648790516705944,0.03575305291723202,0.1044776119402985
prior_120_cap_0.25,anchored_live_ensemble,120.0,0.25,,True,90,0.6666666666666666,0.5764557391798081,0.19648790516705944,0.03575305291723202,0.1044776119402985
prior_120_cap_0.35,anchored_live_ensemble,120.0,0.35,,True,90,0.6666666666666666,0.5764557391798081,0.19648790516705944,0.03575305291723202,0.1044776119402985
prior_80_cap_0.15,anchored_live_ensemble,80.0,0.15,,True,90,0.6666666666666666,0.5765309289336913,0.19657400997772187,0.05156280660443472,0.14893617021276595
prior_80_cap_0.25,anchored_live_ensemble,80.0,0.25,,True,90,0.6666666666666666,0.5765309289336913,0.19657400997772187,0.05156280660443472,0.14893617021276595
prior_80_cap_0.35,anchored_live_ensemble,80.0,0.35,,True,90,0.6666666666666666,0.5765309289336913,0.19657400997772187,0.05156280660443472,0.14893617021276595
anchor_only,anchor_only,,,0.0,True,90,0.6555555555555556,0.5766772953789694,0.1964722086147226,0.0,0.0
prior_60_cap_0.25,anchored_live_ensemble,60.0,0.25,,True,90,0.6666666666666666,0.5766957537583818,0.19669808319320387,0.06620738385444268,0.1891891891891892
prior_60_cap_0.35,anchored_live_ensemble,60.0,0.35,,True,90,0.6666666666666666,0.5766957537583818,0.19669808319320387,0.06620738385444268,0.1891891891891892
prior_60_cap_0.15,anchored_live_ensemble,60.0,0.15,,True,90,0.6666666666666666,0.5768829333003372,0.19679072075677853,0.061372549019607855,0.15
prior_20_cap_0.15,anchored_live_ensemble,20.0,0.15,,True,90,0.6666666666666666,0.5769633809340908,0.196886464310522,0.07,0.15
prior_40_cap_0.15,anchored_live_ensemble,40.0,0.15,,True,90,0.6666666666666666,0.5769633809340908,0.196886464310522,0.07,0.15
prior_40_cap_0.35,anchored_live_ensemble,40.0,0.35,,True,90,0.6555555555555556,0.5772235769059857,0.19702998857273832,0.09249762583095915,0.25925925925925924
prior_40_cap_0.25,anchored_live_ensemble,40.0,0.25,,True,90,0.6555555555555556,0.5773415631687379,0.19708590862712477,0.09188034188034187,0.25
prior_20_cap_0.25,anchored_live_ensemble,20.0,0.25,,True,90,0.6444444444444445,0.5785229964770889,0.19776772732851644,0.11666666666666667,0.25
prior_20_cap_0.35,anchored_live_ensemble,20.0,0.35,,True,90,0.6444444444444445,0.5798689843862778,0.19846426715737517,0.14619047619047618,0.35
live_only_diagnostic,live_only_diagnostic,,,1.0,False,90,0.6444444444444445,0.6286615161284315,0.21980706009374515,1.0,1.0
