group,team_a,team_b,team_a_win,draw,team_b_win,team_a_goals_lambda,team_b_goals_lambda
A,Mexico,South Africa,0.7611891587688726,0.1591344784025505,0.07967636282857686,2.3307011544547134,0.6084333285830976
A,Mexico,South Korea,0.4899143027029948,0.23770888109611055,0.2723768162008947,1.7169908237580447,1.222143659279766
A,Mexico,Czechia,0.6284722961818141,0.20758291307479967,0.1639447907433862,2.018109363390479,0.9210251196473317
A,South Africa,South Korea,0.1245273283510133,0.18868814884806281,0.6867845228009238,0.7886820548205709,2.15045242821724
A,South Africa,Czechia,0.21435134934104502,0.2249414410813196,0.5607072095776353,1.0694616947525493,1.8696727882852615
A,South Korea,Czechia,0.5242082168141925,0.2322225493697598,0.24356923381604764,1.7908786633436575,1.1482558196941532
B,Canada,Bosnia and Herzegovina,0.695553154527449,0.18552747569396077,0.11891936977859027,2.170909823243118,0.7682246597946928
B,Canada,Qatar,0.7155188448039156,0.1780141565631842,0.10646699863290024,2.218177544629123,0.7209569384086878
B,Canada,Switzerland,0.30783996389419105,0.24240718184598284,0.44975285425982614,1.3090574421446806,1.6300770408931302
B,Bosnia and Herzegovina,Qatar,0.4050345476532814,0.24533636046984963,0.34962909187686897,1.5320173601522222,1.4071171228855885
B,Bosnia and Herzegovina,Switzerland,0.08920103934109537,0.16632121292011898,0.7444777477387857,0.6504138939517339,2.288720589086077
B,Qatar,Switzerland,0.07966099723712966,0.1591224114807395,0.7612165912821307,0.6083635529990987,2.330770930038712
C,Brazil,Morocco,0.4312152557882443,0.24392408831751244,0.32486065589424323,1.5896438380290652,1.3494906450087456
C,Brazil,Haiti,0.8381576070612854,0.12159175566104458,0.04025063727767,2.5410936249372997,0.3980408581005109
C,Brazil,Scotland,0.7009891196581077,0.18352560803185994,0.11548527231003233,2.1836809207170376,0.7554535623207732
C,Morocco,Haiti,0.8175137604964194,0.13241541750587119,0.050070821997709375,2.481293133036428,0.45784135000138265
C,Morocco,Scotland,0.6596572544461523,0.19793517903116853,0.14240756652267916,2.088165873176126,0.8509686098616844
C,Haiti,Scotland,0.162358606492871,0.20692296994615766,0.6307184235609713,0.9160256571000054,2.0231088259378054
D,United States,Paraguay,0.42191098294480817,0.24452534107061225,0.33356367598457964,1.5692426430297122,1.3698918400080986
D,United States,Australia,0.37207197668573705,0.24584431195303252,0.3820837113612305,1.4582892638186011,1.4808452192192096
D,United States,Turkey,0.29973228809656716,0.24152089054533402,0.45874682135809886,1.289525905952953,1.6496085770848579
D,Paraguay,Australia,0.32876796519500645,0.2442083507187835,0.42702368408621,1.358671586097051,1.5804628969407597
D,Paraguay,Turkey,0.26052833393073593,0.23564368205974967,0.5038279840095145,1.192155689716034,1.7469787933217769
D,Australia,Turkey,0.30433852338568446,0.24203763879625878,0.4536238378180568,1.3006450614522724,1.6384894215855383
E,Germany,Curacao,0.8781908879709889,0.09883524820810632,0.0229738638209048,2.667253471734469,0.27188101130334175
E,Germany,Ivory Coast,0.6953435127226932,0.18560402697810643,0.11905246029920036,2.170418690955647,0.7687157920821639
E,Germany,Ecuador,0.4635947517116365,0.2410030203683418,0.29540222792002163,1.6601171885452468,1.279017294492564
E,Curacao,Ivory Coast,0.090709619083666,0.1674083468183899,0.7418820340979442,0.6568451596651732,2.2822893233726376
E,Curacao,Ecuador,0.0322103914956204,0.11170098216433204,0.8560886263400476,0.343425763805306,2.595708719232505
E,Ivory Coast,Ecuador,0.1654123030425841,0.20818668364114368,0.6264010133162723,0.9256296943375109,2.0135047887003
F,Netherlands,Japan,0.3959340660569858,0.24562110917084437,0.35844482477216993,1.511809025202513,1.4273254578352979
F,Netherlands,Sweden,0.700389622643991,0.18374798050112265,0.11586239685488646,2.1822690180819038,0.756865464955907
F,Netherlands,Tunisia,0.7560015714858643,0.1614004034965278,0.08259802501760782,2.3175587400210924,0.6215757430167186
F,Japan,Sweden,0.686376980678868,0.18883299857474556,0.12479002074638645,2.149505760484844,0.7896287225529669
F,Japan,Tunisia,0.7445528210708359,0.1662896550461338,0.08915752388303035,2.2889069363319634,0.6502275467058474
