group,team,position_1,position_2,position_3,position_4,expected_position
A,Mexico,0.5903333333333334,0.3196666666666666,0.0876666666666666,0.0023333333333333,1.502
A,South Korea,0.3866666666666666,0.5293333333333333,0.073,0.011,1.7083333333333333
A,Czechia,0.0203333333333333,0.109,0.594,0.2766666666666666,3.127
A,South Africa,0.0026666666666666,0.042,0.2453333333333333,0.71,3.6626666666666665
B,Switzerland,0.4736666666666667,0.2773333333333333,0.182,0.067,1.8423333333333332
B,Canada,0.3546666666666667,0.329,0.2113333333333333,0.105,2.066666666666667
B,Bosnia and Herzegovina,0.095,0.2026666666666666,0.3073333333333333,0.395,3.002333333333333
B,Qatar,0.0766666666666666,0.191,0.2993333333333333,0.433,3.0886666666666667
C,Brazil,0.4746666666666667,0.385,0.1273333333333333,0.013,1.6786666666666668
C,Morocco,0.4093333333333333,0.404,0.1696666666666666,0.017,1.7943333333333331
C,Scotland,0.113,0.207,0.653,0.027,2.594
C,Haiti,0.003,0.004,0.05,0.943,3.933
D,Australia,0.4846666666666667,0.388,0.1143333333333333,0.013,1.6556666666666666
D,United States,0.4636666666666666,0.3403333333333333,0.1786666666666666,0.0173333333333333,1.7496666666666667
D,Turkey,0.038,0.1896666666666666,0.4593333333333333,0.313,3.047333333333333
D,Paraguay,0.0136666666666666,0.082,0.2476666666666666,0.6566666666666666,3.547333333333333
E,Germany,0.7533333333333333,0.1763333333333333,0.0703333333333333,0.0,1.317
E,Ivory Coast,0.2263333333333333,0.6226666666666667,0.1486666666666666,0.0023333333333333,1.927
E,Ecuador,0.0203333333333333,0.1956666666666666,0.733,0.051,2.8146666666666667
E,Curacao,0.0,0.0053333333333333,0.048,0.9466666666666668,3.941333333333333
F,Japan,0.4253333333333333,0.3896666666666666,0.1603333333333333,0.0246666666666666,1.784333333333333
F,Netherlands,0.4173333333333333,0.3876666666666666,0.1653333333333333,0.0296666666666666,1.8073333333333328
F,Sweden,0.1546666666666666,0.217,0.6116666666666667,0.0166666666666666,2.490333333333333
F,Tunisia,0.0026666666666666,0.0056666666666666,0.0626666666666666,0.929,3.918
G,Belgium,0.458,0.2753333333333333,0.1813333333333333,0.0853333333333333,1.894
G,Iran,0.2813333333333333,0.2663333333333333,0.294,0.1583333333333333,2.329333333333333
G,Egypt,0.1966666666666666,0.3123333333333333,0.266,0.225,2.519333333333333
G,New Zealand,0.064,0.146,0.2586666666666666,0.5313333333333333,3.2573333333333334
H,Spain,0.7436666666666667,0.1806666666666666,0.065,0.0106666666666666,1.342666666666667
H,Uruguay,0.1843333333333333,0.4173333333333333,0.2696666666666666,0.1286666666666666,2.3426666666666667
H,Saudi Arabia,0.044,0.207,0.364,0.385,3.0900000000000003
H,Cape Verde,0.028,0.195,0.3013333333333333,0.4756666666666667,3.224666666666667
I,France,0.7996666666666666,0.187,0.0126666666666666,0.0006666666666666,1.2143333333333333
I,Norway,0.1863333333333333,0.5693333333333334,0.2396666666666666,0.0046666666666666,2.062666666666667
I,Senegal,0.0136666666666666,0.2336666666666666,0.567,0.1856666666666666,2.9246666666666665
I,Iraq,0.0003333333333333,0.01,0.1806666666666666,0.809,3.798333333333334
J,Argentina,0.9153333333333332,0.079,0.0056666666666666,0.0,1.0903333333333334
J,Austria,0.078,0.6263333333333333,0.284,0.0116666666666666,2.229333333333333
J,Algeria,0.0053333333333333,0.2733333333333333,0.4993333333333333,0.222,2.938
J,Jordan,0.0013333333333333,0.0213333333333333,0.211,0.7663333333333333,3.742333333333333
K,Colombia,0.5596666666666666,0.2776666666666667,0.1216666666666666,0.041,1.644
K,Portugal,0.3143333333333333,0.3866666666666666,0.2296666666666666,0.0693333333333333,2.054
K,Uzbekistan,0.096,0.2106666666666666,0.3413333333333333,0.352,2.949333333333333
K,DR Congo,0.03,0.125,0.3073333333333333,0.5376666666666666,3.3526666666666665
L,England,0.9266666666666666,0.0666666666666666,0.006,0.0006666666666666,1.0806666666666669
L,Croatia,0.028,0.6426666666666667,0.285,0.0443333333333333,2.345666666666667
L,Panama,0.044,0.2533333333333333,0.5473333333333333,0.1553333333333333,2.814
L,Ghana,0.0013333333333333,0.0373333333333333,0.1616666666666666,0.7996666666666666,3.7596666666666665
