team,group_win,advance_from_group,reach_r32,reach_r16,reach_qf,reach_sf,reach_final,champion
Argentina,1.0,1.0,1.0,0.8996666666666666,0.7076666666666667,0.5423333333333333,0.3676666666666666,0.2283333333333333
Spain,0.886,1.0,1.0,0.7493333333333333,0.5436666666666666,0.4296666666666666,0.2743333333333333,0.1706666666666666
France,0.797,1.0,1.0,0.7986666666666666,0.4753333333333333,0.291,0.175,0.0953333333333333
England,0.9593333333333334,0.9986666666666668,0.9986666666666668,0.7456666666666667,0.4866666666666667,0.284,0.1366666666666666,0.0746666666666666
Germany,1.0,1.0,1.0,0.7276666666666667,0.3856666666666666,0.216,0.115,0.0573333333333333
Brazil,0.7166666666666667,1.0,1.0,0.5836666666666667,0.3713333333333333,0.2116666666666666,0.1053333333333333,0.0513333333333333
Netherlands,0.6776666666666666,1.0,1.0,0.5363333333333333,0.3333333333333333,0.176,0.0873333333333333,0.0423333333333333
Colombia,0.6693333333333333,0.991,0.991,0.7566666666666667,0.4353333333333333,0.1883333333333333,0.087,0.0383333333333333
Morocco,0.2603333333333333,1.0,1.0,0.514,0.3186666666666666,0.1666666666666666,0.085,0.037
Portugal,0.2663333333333333,0.8403333333333334,0.8403333333333334,0.5836666666666667,0.3036666666666666,0.1576666666666666,0.081,0.0316666666666666
Mexico,0.9676666666666668,1.0,1.0,0.6523333333333333,0.2866666666666667,0.1386666666666666,0.0533333333333333,0.022
Norway,0.203,1.0,1.0,0.6703333333333333,0.2976666666666667,0.1333333333333333,0.0553333333333333,0.0206666666666666
United States,1.0,1.0,1.0,0.76,0.4363333333333333,0.1486666666666666,0.0576666666666666,0.0203333333333333
Japan,0.2926666666666667,1.0,1.0,0.4273333333333333,0.2416666666666666,0.1076666666666666,0.045,0.017
Belgium,0.1026666666666666,0.9036666666666666,0.9036666666666666,0.5503333333333333,0.1856666666666666,0.0903333333333333,0.0376666666666666,0.0156666666666666
