round,match,matchup,team_a_top,team_b_top,direct_matchup_fixed,matchup_probability,direct_team_a_win_probability,direct_draw_probability,direct_team_b_win_probability,direct_team_a_advance_probability,direct_team_b_advance_probability,direct_winner,direct_winner_probability,monte_carlo_team_a_advance_probability,monte_carlo_team_b_advance_probability,monte_carlo_winner,monte_carlo_winner_probability,monte_carlo_sample_size,monte_carlo_standard_error,monte_carlo_team_a_ci95_lower,monte_carlo_team_a_ci95_upper,direct_vs_monte_carlo_delta,absolute_probability_delta,direct_within_monte_carlo_ci,prediction_agreement
round_of_32,73,South Africa vs Canada,South Africa,Canada,True,1.0,0.2232680998967351,0.2351879572361302,0.5415439428671346,0.3408620785148003,0.6591379214851997,Canada,0.6591379214851997,0.351,0.649,Canada,0.649,3000,0.0087139543262516,0.3339206495205467,0.3680793504794532,0.0101379214851996,0.0101379214851996,True,True
round_of_32,74,Germany vs Paraguay,Germany,Paraguay,True,1.0,0.590021985716747,0.213647056407797,0.1963309578754559,0.6968455139206455,0.3031544860793544,Germany,0.6968455139206455,0.6923333333333334,0.3076666666666666,Germany,0.6923333333333334,3000,0.0084263058115421,0.6758177739427107,0.708848892723956,-0.0045121805873121,0.0045121805873121,True,True
round_of_32,75,Netherlands vs Morocco,Netherlands,Morocco,True,1.0,0.3963772910039685,0.2464910933127189,0.3571316156833125,0.519622837660328,0.480377162339672,Netherlands,0.519622837660328,0.5046666666666667,0.4953333333333333,Netherlands,0.5046666666666667,3000,0.0091283116770887,0.4867751757795728,0.5225581575537606,-0.0149561709936613,0.0149561709936613,True,True
round_of_32,76,Brazil vs Japan,Brazil,Japan,True,1.0,0.511401693293697,0.2322220177159183,0.2563762889903846,0.6275127021516562,0.3724872978483438,Brazil,0.6275127021516562,0.6156666666666667,0.3843333333333333,Brazil,0.6156666666666667,3000,0.008881088938905,0.5982597323464129,0.6330736009869204,-0.0118460354849895,0.0118460354849895,True,True
round_of_32,77,France vs Sweden,France,Sweden,True,1.0,0.7618010521468461,0.1580365129047103,0.0801624349484435,0.8408193085992013,0.1591806914007987,France,0.8408193085992013,0.8346666666666667,0.1653333333333333,France,0.8346666666666667,3000,0.006782286296479,0.8213733855255677,0.8479599478077656,-0.0061526419325346,0.0061526419325346,True,True
round_of_32,78,Ivory Coast vs Norway,Ivory Coast,Norway,True,1.0,0.282530560226067,0.2407811253434228,0.4766883144305102,0.4029211228977785,0.5970788771022215,Norway,0.5970788771022215,0.3993333333333333,0.6006666666666667,Norway,0.6006666666666667,3000,0.0089417787608175,0.381807446962131,0.4168592197045356,-0.0035877895644451,0.0035877895644451,True,True
round_of_32,79,Mexico vs Ecuador,Mexico,Ecuador,True,1.0,0.4941577405447738,0.2350949825141899,0.2707472769410362,0.6117052318018688,0.3882947681981312,Mexico,0.6117052318018688,0.5943333333333334,0.4056666666666666,Mexico,0.5943333333333334,3000,0.0089647684897087,0.5767623870935044,0.6119042795731624,-0.0173718984685353,0.0173718984685353,True,True
round_of_32,80,England vs DR Congo,England,DR Congo,True,1.0,0.7389337845658164,0.1660541182361029,0.0950120971980806,0.8219608436838678,0.1780391563161322,England,0.8219608436838678,0.818,0.182,England,0.818,3000,0.0070445250608776,0.8041927308806798,0.8318072691193201,-0.0039608436838678,0.0039608436838678,True,True
round_of_32,81,United States vs Bosnia and Herzegovina,United States,Bosnia and Herzegovina,True,1.0,0.6318775224244316,0.1995907553969041,0.1685317221786641,0.7316729001228837,0.2683270998771163,United States,0.7316729001228837,0.7403333333333333,0.2596666666666667,United States,0.7403333333333333,3000,0.008004996125106,0.7246435409281254,0.7560231257385411,0.0086604332104496,0.0086604332104496,True,True
round_of_32,82,Belgium vs Senegal,Belgium,Senegal,True,1.0,0.5606281485624459,0.221716608209495,0.217655243228059,0.6714864526671934,0.3285135473328066,Belgium,0.6714864526671934,0.6823333333333333,0.3176666666666666,Belgium,0.6823333333333333,3000,0.0085000893241493,0.6656731582580006,0.6989935084086661,0.0108468806661399,0.0108468806661399,True,True
round_of_32,83,Portugal vs Croatia,Portugal,Croatia,True,1.0,0.573109652766397,0.2186973323128037,0.2081930149207991,0.682458318922799,0.317541681077201,Portugal,0.682458318922799,0.681,0.3189999999999999,Portugal,0.681,3000,0.0085095828334883,0.6643212176463629,0.6976787823536372,-0.0014583189227989,0.0014583189227989,True,True
round_of_32,84,Spain vs Austria,Spain,Austria,True,1.0,0.6812595585105273,0.1903731356830731,0.1283673058063995,0.7764461263520639,0.2235538736479361,Spain,0.7764461263520639,0.7796666666666666,0.2203333333333333,Spain,0.7796666666666666,3000,0.0075671781520712,0.7648349974886068,0.7944983358447264,0.0032205403146027,0.0032205403146027,True,True
round_of_32,85,Switzerland vs Algeria,Switzerland,Algeria,True,1.0,0.4857961879789684,0.2359319681000958,0.2782718439209356,0.6037621720290164,0.3962378279709836,Switzerland,0.6037621720290164,0.6076666666666667,0.3923333333333333,Switzerland,0.6076666666666667,3000,0.0089145553055829,0.5901941382677242,0.6251391950656092,0.0039044946376503,0.0039044946376503,True,True
round_of_32,86,Argentina vs Cape Verde,Argentina,Cape Verde,True,1.0,0.8756263188526168,0.098199846186624,0.0261738349607592,0.9247262419459288,0.0752737580540712,Argentina,0.9247262419459288,0.93,0.0699999999999999,Argentina,0.93,3000,0.0046583258795408,0.9208696812761,0.9391303187239,0.0052737580540712,0.0052737580540712,True,True
round_of_32,87,Colombia vs Ghana,Colombia,Ghana,True,1.0,0.8158213519248423,0.1288321915309772,0.0553464565441805,0.8802374476903309,0.1197625523096691,Colombia,0.8802374476903309,0.877,0.123,Colombia,0.877,3000,0.0059964155960039,0.8652470254318322,0.8887529745681678,-0.0032374476903308,0.0032374476903308,True,True
round_of_32,88,Australia vs Egypt,Australia,Egypt,True,1.0,0.4437385367033846,0.2413727249748068,0.3148887383218085,0.5644248991907881,0.4355751008092119,Australia,0.5644248991907881,0.558,0.4419999999999999,Australia,0.558,3000,0.0090670833237596,0.5402285166854311,0.575771483314569,-0.006424899190788,0.006424899190788,True,True
round_of_16,89,Germany vs France,Germany,France,False,0.578,0.2616304169717392,0.2312057901362609,0.5071637928919999,0.3772333120398696,0.6227666879601303,France,0.6227666879601303,0.3679354094579008,0.6320645905420992,France,0.6320645905420992,1734,0.0115808910718908,0.3452368629569948,0.3906339559588068,-0.0092979025819688,0.0092979025819688,True,True
round_of_16,90,Canada vs Netherlands,Canada,Netherlands,False,0.3233333333333333,0.1922489109945984,0.2148900864089267,0.5928610025964749,0.2996939541990617,0.7003060458009382,Netherlands,0.7003060458009382,0.2886597938144329,0.711340206185567,Netherlands,0.711340206185567,970,0.0145494293383482,0.2601429123112703,0.3171766753175956,-0.0110341603846287,0.0110341603846287,True,True
round_of_16,91,Brazil vs Norway,Brazil,Norway,False,0.3686666666666666,0.5605413618077705,0.2217123589063426,0.2177462792858869,0.6713975412609419,0.3286024587390581,Brazil,0.6713975412609419,0.6871609403254972,0.3128390596745027,Brazil,0.6871609403254972,1106,0.0139415851335705,0.6598354334636989,0.7144864471872956,0.0157633990645553,0.0157633990645553,True,True
round_of_16,92,Mexico vs England,Mexico,England,False,0.4906666666666666,0.3530486232928209,0.2425830773465133,0.4043682993606658,0.4743401619660776,0.5256598380339224,England,0.5256598380339224,0.452445652173913,0.5475543478260869,England,0.5475543478260869,1472,0.0129730747504277,0.4270184256630746,0.4778728786847515,-0.0218945097921645,0.0218945097921645,True,True
