group,team_a,team_b,team_a_win,draw,team_b_win,team_a_goals_lambda,team_b_goals_lambda
A,Mexico,South Africa,0.7555302742396477,0.19293265566743298,0.05153707009291941,,
A,Mexico,South Korea,0.6378685049011341,0.2592549838231571,0.10287651127570889,,
A,Mexico,Czechia,0.7245037589736333,0.21280075301922513,0.06269548800714156,,
A,South Africa,South Korea,0.2883069104338,0.3508450531088857,0.36084803645731434,,
A,South Africa,Czechia,0.37943212155802014,0.3489231710332256,0.2716447074087543,,
A,South Korea,Czechia,0.5224465414689469,0.3063399459822617,0.1712135125487914,,
B,Canada,Bosnia and Herzegovina,0.6249334682887268,0.262537496595233,0.11252903511604026,,
B,Canada,Qatar,0.7083173661810179,0.21966296076015182,0.07201967305883031,,
B,Canada,Switzerland,0.3035969574378609,0.3435987373447493,0.35280430521738976,,
B,Bosnia and Herzegovina,Qatar,0.5181364716717957,0.309245872899482,0.17261765542872226,,
B,Bosnia and Herzegovina,Switzerland,0.1430092373644114,0.29693181287791925,0.5600589497576695,,
B,Qatar,Switzerland,0.09113014399993816,0.25060752233778444,0.6582623336622774,,
C,Brazil,Morocco,0.45462487383739775,0.32988474807841717,0.2154903780841851,,
C,Brazil,Haiti,0.8566777589082943,0.12475679236486581,0.018565448726839816,,
C,Brazil,Scotland,0.7058604957031979,0.22348327283567426,0.07065623146112797,,
C,Morocco,Haiti,0.840555388031753,0.13653641012406756,0.022908201844179504,,
C,Morocco,Scotland,0.6775862537674562,0.23880308371800055,0.08361066251454327,,
C,Haiti,Scotland,0.20811573022750024,0.33473897811476394,0.4571452916577359,,
D,United States,Paraguay,0.4553431167167511,0.32987856256246223,0.21477832072078668,,
D,United States,Australia,0.3995360868159351,0.3435851891344558,0.25687872404960915,,
D,United States,Turkey,0.40111808147207606,0.3420548410218062,0.2568270775061178,,
D,Paraguay,Australia,0.3655778342968607,0.34837463232525623,0.28604753337788313,,
D,Paraguay,Turkey,0.3670182019803582,0.34683615503733545,0.2861456429823064,,
D,Australia,Turkey,0.4217106831934599,0.3371633966057525,0.24112592020078763,,
E,Germany,Curacao,0.8539951325637278,0.1270948445285554,0.01891002290771684,,
E,Germany,Ivory Coast,0.6143222422562635,0.2710839749127701,0.11459378283096644,,
E,Germany,Ecuador,0.48971278275883484,0.32149195421395527,0.18879526302720986,,
E,Curacao,Ivory Coast,0.14120263062416327,0.2975720212994563,0.5612253480763805,,
E,Curacao,Ecuador,0.07674115969788595,0.23397083538448038,0.6892880049176336,,
E,Ivory Coast,Ecuador,0.3013079819667773,0.3476164826997926,0.35107553533343006,,
F,Netherlands,Japan,0.5084210372963656,0.31454722602998525,0.17703173667364913,,
F,Netherlands,Sweden,0.6881482848928813,0.2337459847193906,0.0781057303877282,,
F,Netherlands,Tunisia,0.807664561125881,0.160358485791696,0.03197695308242293,,
