round,match,team_a_top,team_a_probability,team_b_top,team_b_probability,matchup_probability,winner_top,winner_probability,winner_match_probability
round_of_32,73,South Africa,1.0,Canada,1.0,1.0,Canada,1.0,1.0
round_of_32,74,Germany,1.0,Paraguay,1.0,1.0,Paraguay,1.0,1.0
round_of_32,75,Netherlands,1.0,Morocco,1.0,1.0,Morocco,1.0,1.0
round_of_32,76,Brazil,1.0,Japan,1.0,1.0,Brazil,1.0,1.0
round_of_32,77,France,1.0,Sweden,1.0,1.0,France,1.0,1.0
round_of_32,78,Ivory Coast,1.0,Norway,1.0,1.0,Norway,1.0,1.0
round_of_32,79,Mexico,1.0,Ecuador,1.0,1.0,Mexico,1.0,1.0
round_of_32,80,England,1.0,DR Congo,1.0,1.0,England,1.0,1.0
round_of_32,81,United States,1.0,Bosnia and Herzegovina,1.0,1.0,United States,1.0,1.0
round_of_32,82,Belgium,1.0,Senegal,1.0,1.0,Belgium,1.0,1.0
round_of_32,83,Portugal,1.0,Croatia,1.0,1.0,Portugal,1.0,1.0
round_of_32,84,Spain,1.0,Austria,1.0,1.0,Spain,1.0,1.0
round_of_32,85,Switzerland,1.0,Algeria,1.0,1.0,Switzerland,1.0,1.0
round_of_32,86,Argentina,1.0,Cape Verde,1.0,1.0,Argentina,1.0,1.0
round_of_32,87,Colombia,1.0,Ghana,1.0,1.0,Colombia,1.0,1.0
round_of_32,88,Australia,1.0,Egypt,1.0,1.0,Egypt,1.0,1.0
round_of_16,89,Canada,1.0,Morocco,1.0,1.0,Morocco,0.6373333333333333,0.6373333333333333
round_of_16,90,Paraguay,1.0,France,1.0,1.0,France,0.7776666666666666,0.7776666666666666
round_of_16,91,Brazil,1.0,Norway,1.0,1.0,Brazil,0.6956666666666667,0.6956666666666667
round_of_16,92,Mexico,1.0,England,1.0,1.0,Mexico,0.53,0.53
round_of_16,93,Portugal,1.0,Spain,1.0,1.0,Spain,0.5783333333333334,0.5783333333333334
round_of_16,94,United States,1.0,Belgium,1.0,1.0,Belgium,0.5863333333333334,0.5863333333333334
round_of_16,95,Argentina,1.0,Egypt,1.0,1.0,Argentina,0.8483333333333334,0.8483333333333334
round_of_16,96,Switzerland,1.0,Colombia,1.0,1.0,Switzerland,0.5106666666666667,0.5106666666666667
quarterfinals,97,Morocco,0.6373333333333333,France,0.7776666666666666,0.497,France,0.5056666666666667,0.5975855130784709
quarterfinals,98,Spain,0.5783333333333334,Belgium,0.5863333333333334,0.3433333333333333,Spain,0.434,0.7135922330097088
quarterfinals,99,Brazil,0.6956666666666667,Mexico,0.53,0.36466666666666664,Brazil,0.38133333333333336,0.5420475319926874
quarterfinals,100,Argentina,0.8483333333333334,Switzerland,0.5106666666666667,0.431,Argentina,0.622,0.7440061871616396
semifinals,101,France,0.5056666666666667,Spain,0.434,0.22,France,0.30366666666666664,0.5045454545454545
semifinals,102,Brazil,0.38133333333333336,Argentina,0.622,0.23166666666666666,Argentina,0.38166666666666665,0.576978417266187
final,104,France,0.30366666666666664,Argentina,0.38166666666666665,0.122,Argentina,0.22033333333333333,0.5245901639344263
