round,match,matchup,team_a_top,team_b_top,direct_matchup_fixed,matchup_probability,direct_team_a_win_probability,direct_draw_probability,direct_team_b_win_probability,direct_team_a_advance_probability,direct_team_b_advance_probability,direct_winner,direct_winner_probability,monte_carlo_team_a_advance_probability,monte_carlo_team_b_advance_probability,monte_carlo_winner,monte_carlo_winner_probability,monte_carlo_sample_size,monte_carlo_standard_error,monte_carlo_team_a_ci95_lower,monte_carlo_team_a_ci95_upper,direct_vs_monte_carlo_delta,absolute_probability_delta,direct_within_monte_carlo_ci,prediction_agreement
round_of_32,73,South Korea vs Canada,South Korea,Canada,False,0.11266666666666666,0.35871870676325124,0.24781613669951386,0.39346515653723496,0.48262677511300817,0.5173732248869918,Canada,0.5173732248869918,0.4822485207100592,0.5177514792899408,Switzerland,0.0,338,0.027179269259208435,0.42897715296201067,0.5355198884581077,-0.0003782544029489743,0.0003782544029489743,True,False
round_of_32,74,Germany vs Scotland,Germany,Scotland,False,0.10733333333333334,0.640158431995274,0.199608560726859,0.160233007277867,0.7399627123587035,0.2600372876412965,Germany,0.7399627123587035,0.7732919254658385,0.22670807453416153,Germany,0.7732919254658385,322,0.023333360775468714,0.7275585383459198,0.8190253125857572,0.03332921310713499,0.03332921310713499,True,True
round_of_32,75,Netherlands vs Morocco,Netherlands,Morocco,False,0.196,0.3945107709081634,0.24739049933231247,0.35809872975952417,0.5182060205743196,0.48179397942568036,Netherlands,0.5182060205743196,0.532312925170068,0.467687074829932,Netherlands,0.532312925170068,588,0.020576548423188613,0.4919828902606183,0.5726429600795176,0.01410690459574837,0.01410690459574837,True,True
round_of_32,76,Brazil vs Japan,Brazil,Japan,False,0.19,0.47267254750802606,0.2399784512411302,0.2873490012508438,0.5926617731285911,0.40733822687140886,Brazil,0.5926617731285911,0.6263157894736842,0.37368421052631584,Brazil,0.6263157894736842,570,0.02026336774843067,0.5865995886867601,0.6660319902606082,0.03365401634509302,0.03365401634509302,True,True
round_of_32,77,France vs Sweden,France,Sweden,False,0.13133333333333333,0.7239207144109472,0.1745527910844902,0.10152649450456255,0.8111971099531923,0.18880289004680773,France,0.8111971099531923,0.8020304568527918,0.19796954314720816,France,0.8020304568527918,394,0.020074581949316703,0.7626842762321311,0.8413766374734526,-0.009166653100400435,0.009166653100400435,True,True
round_of_32,78,Ecuador vs Norway,Ecuador,Norway,False,0.14233333333333334,0.4020482123879722,0.2438845856720089,0.3540672019400189,0.5239905052239767,0.4760094947760233,Ecuador,0.5239905052239767,0.5620608899297423,0.43793911007025765,Ecuador,0.5620608899297423,427,0.024009582685920575,0.5150021078653381,0.6091196719941466,0.038070384705765625,0.038070384705765625,True,True
round_of_32,79,Mexico vs Ivory Coast,Mexico,Ivory Coast,False,0.09666666666666666,0.5898231237148599,0.2141065230751293,0.1960703532100108,0.6968763852524246,0.30312361474757543,Mexico,0.6968763852524246,0.7137931034482758,0.28620689655172415,Mexico,0.7137931034482758,290,0.026541607473988694,0.661771552799258,0.7658146540972937,0.016916718195851277,0.016916718195851277,True,True
round_of_32,80,England vs Uzbekistan,England,Uzbekistan,False,0.174,0.679169818734682,0.18805758617985593,0.1327725950854622,0.7731986118246099,0.22680138817539008,England,0.7731986118246099,0.7701149425287356,0.22988505747126442,England,0.7701149425287356,522,0.018416109775878264,0.7340193673680142,0.806210517689457,-0.003083669295874336,0.003083669295874336,True,True
round_of_32,81,Turkey vs Bosnia and Herzegovina,Turkey,Bosnia and Herzegovina,False,0.08,0.6596104757785328,0.1913335376596927,0.14905598656177457,0.7552772446083792,0.2447227553916208,Turkey,0.7552772446083792,0.7541666666666667,0.24583333333333335,Turkey,0.7541666666666667,240,0.027793832166174596,0.6996907556209644,0.8086425777123689,-0.0011105779417125428,0.0011105779417125428,True,True
round_of_32,82,Belgium vs Czechia,Belgium,Czechia,False,0.123,0.6390378331838786,0.20040463497849184,0.16055753183762958,0.7392401506731245,0.26075984932687546,Belgium,0.7392401506731245,0.7804878048780488,0.2195121951219512,Belgium,0.7804878048780488,369,0.021547614843872496,0.7382544797840587,0.822721129972039,0.04124765420492427,0.04124765420492427,True,True
